xflr5 v6.32

Plane name :, Plane 09
Polar name :, plane_09
Freestream speed :, 10.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.500,     0.000,   0.057224,   0.003091,   0.016364,   0.019455,  -0.000000,   0.000000,   0.126014,   0.000000,   0.000000,   29.0842,   -0.3460
   -3.000,     0.000,   0.101423,   0.003263,   0.017112,   0.020375,  -0.000000,   0.000000,   0.118271,   0.000000,   0.000000,   21.8462,   -0.1518
   -2.500,     0.000,   0.145623,   0.003587,   0.017399,   0.020985,  -0.000000,   0.000000,   0.110489,   0.000000,   0.000000,   18.2318,   -0.0755
   -2.000,     0.000,   0.189811,   0.004062,   0.020360,   0.024422,  -0.000000,   0.000000,   0.102582,  -0.000000,  -0.000000,   15.9692,   -0.0347
   -1.500,     0.000,   0.233975,   0.004689,   0.022980,   0.027669,  -0.000000,   0.000000,   0.094748,   0.000000,   0.000000,   14.3833,   -0.0094
   -1.000,     0.000,   0.278106,   0.005467,   0.024716,   0.030182,  -0.000000,   0.000000,   0.086869,   0.000000,   0.000000,   13.1929,    0.0079
   -0.500,     0.000,   0.322190,   0.006396,   0.026152,   0.032547,  -0.000000,   0.000000,   0.079002,   0.000000,   0.000000,   12.2571,    0.0205
    0.000,     0.000,   0.366218,   0.007475,   0.026950,   0.034425,  -0.000000,   0.000000,   0.071139,   0.000000,  -0.000000,   11.4967,    0.0301
    0.500,     0.000,   0.410178,   0.008705,   0.026919,   0.035624,  -0.000000,   0.000000,   0.063286,   0.000000,  -0.000000,   10.8632,    0.0376
    1.000,     0.000,   0.454058,   0.010084,   0.029441,   0.039525,  -0.000000,   0.000000,   0.055376,  -0.000000,  -0.000000,   10.3250,    0.0436
    1.500,     0.000,   0.497847,   0.011611,   0.031682,   0.043293,  -0.000000,   0.000000,   0.047472,  -0.000000,  -0.000000,    9.8604,    0.0486
    2.000,     0.000,   0.541535,   0.013286,   0.035177,   0.048462,  -0.000000,   0.000000,   0.039545,  -0.000000,  -0.000000,    9.4543,    0.0528
    2.500,     0.000,   0.585110,   0.015107,   0.038010,   0.053118,  -0.000000,   0.000000,   0.031629,   0.000000,   0.000000,    9.0955,    0.0564
    3.000,     0.000,   0.628561,   0.017074,   0.039956,   0.057031,  -0.000000,   0.000000,   0.023731,  -0.000000,   0.000000,    8.7755,    0.0595
    3.500,     0.000,   0.671878,   0.019186,   0.041652,   0.060838,  -0.000000,   0.000000,   0.015842,  -0.000000,  -0.000000,    8.4879,    0.0622
    4.000,     0.000,   0.715049,   0.021440,   0.043664,   0.065104,  -0.000000,   0.000000,   0.007955,   0.000000,   0.000000,    8.2277,    0.0646
    4.500,     0.000,   0.758063,   0.023836,   0.046032,   0.069867,  -0.000000,   0.000000,   0.000072,   0.000000,  -0.000000,    7.9908,    0.0667
    5.000,     0.000,   0.800910,   0.026371,   0.047520,   0.073891,  -0.000000,   0.000000,  -0.007787,  -0.000000,  -0.000000,    7.7741,    0.0686
    5.500,     0.000,   0.843579,   0.029045,   0.047908,   0.076952,  -0.000000,   0.000000,  -0.015620,  -0.000000,  -0.000000,    7.5750,    0.0703
    6.000,     0.000,   0.886060,   0.031855,   0.048382,   0.080237,   0.000000,   0.000000,  -0.023440,   0.000000,  -0.000000,    7.3912,    0.0719
    6.500,     0.000,   0.928342,   0.034800,   0.049091,   0.083891,   0.000000,   0.000000,  -0.031247,   0.000000,   0.000000,    7.2209,    0.0733
    7.000,     0.000,   0.970415,   0.037877,   0.049492,   0.087369,   0.000000,   0.000000,  -0.039033,   0.000000,  -0.000000,    7.0626,    0.0746
    7.500,     0.000,   1.012268,   0.041085,   0.049606,   0.090691,   0.000000,   0.000000,  -0.046796,   0.000000,   0.000000,    6.9151,    0.0758
    8.000,     0.000,   1.053892,   0.044420,   0.049691,   0.094112,   0.000000,   0.000000,  -0.054536,   0.000000,  -0.000000,    6.7771,    0.0769
    8.500,     0.000,   1.095276,   0.047882,   0.049831,   0.097713,   0.000000,   0.000000,  -0.062252,   0.000000,   0.000000,    6.6479,    0.0780
    9.000,     0.000,   1.136411,   0.051468,   0.049399,   0.100867,   0.000000,   0.000000,  -0.069940,   0.000000,   0.000000,    6.5264,    0.0790
    9.500,     0.000,   1.177287,   0.055174,   0.048217,   0.103391,   0.000000,   0.000000,  -0.077598,   0.000000,  -0.000000,    6.4121,    0.0799
   10.000,     0.000,   1.217894,   0.058999,   0.047471,   0.106470,   0.000000,   0.000000,  -0.085229,   0.000000,  -0.000000,    6.3043,    0.0808


